diameter	large	mid	small	combustible	garbage	umbrella
8	0	0	7	3	2	1
12	0	0	24	10	5	3
16	0	12	46	25	11	10
20	0	41	58	41	17	20
24	0	100	64	65	27	36
28	48	128	68	94	38	57
32	134	144	61	125	50	85
36	256	153	55	164	65	120
40	433	163	18	207	82	163
44	619	161	0	265	102	217
48	808	139	0	325	121	272
52	1017	133	0	375	142	335
56	1244	118	0	446	166	407
60	1505	93	0	526	191	489
64	1779	52	0	569	216	560
68	2049	0	0	639	240	635
72	2347	0	0	733	273	738
76	2568	0	0	852	302	830
80	2832	0	0	942	330	927
